t20i_match_no,match_id,match_name,series_id,series_name,match_date,match_format,team1_id,team1_name,team1_captain,team1_runs_scored,team1_wickets_fell,team1_extras_rec,team2_id,team2_name,team2_captain,team2_runs_scored,team2_wickets_fell,team2_extras_rec,match_venue_stadium,match_venue_city,match_venue_country,umpire_1,umpire_2,match_referee,toss_winner,toss_winner_choice,match_winner,match_result_text,mom_player,team1_playing_11,team2_playing_11,debut_players
52,291356,Australia Vs India Only T20I,291355,India tour of Australia  - 2007 (2007/08),2008-02-01,T20,6,India,7593,74.0,10.0,3.0,2,Australia,8876,75.0,1.0,3.0,Melbourne Cricket Ground,Melbourne,Australia,BNJ Oxenford,SJA Taufel,JJ Crowe,India,bat,Australia,Australia won by 9 wickets (with 52 balls remaining),8876.0,"['7773', '7781', '8813', '8742', '48405', '7593', '11399', '48319', '7139', '12020', '49327']","['4176', '8876', '6253', '6256', '4382', '11984', '5966', '9235', '7445', '8244', '12400']","['11984', '49327', '48319']"
54,300436,New Zealand Vs England 2Nd T20I,300418,England tour of New Zealand  - 2008 (2007/08),2008-02-07,T20,1,England,2314,193.0,8.0,4.0,5,New Zealand,10384,143.0,8.0,3.0,Jade Stadium,Christchurch,New Zealand,BF Bowden,GAV Baxter,AG Hurst,England,bat,England,England won by 50 runs,2314.0,"['11556', '44660', '8107', '7822', '2314', '6377', '6769', '7013', '48440', '4647', '10829']","['44946', '10384', '44930', '10381', '9570', '35647', '47488', '10303', '10325', '49108', '9711']","['47488', '10325']"
65,361531,Netherlands Vs Scotland 2Nd Semi Final,353665,"ICC World Twenty20 Qualifier Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland - 2008 (2008)",2008-08-04,T20,30,Scotland,45548,107.0,8.0,6.0,15,Netherlands,4192,110.0,5.0,5.0,Civil Service Cricket Club,Belfast,Ireland,NG Bagh,PK Baldwin,BC Broad,Netherlands,bowl,Netherlands,Netherlands won by 5 wickets (with 12 balls remaining),45358.0,"['45548', '46048', '46142', '8221', '4334', '44588', '52063', '48469', '4968', '46091', '47873']","['10323', '48655', '6362', '49443', '45358', '6365', '45001', '6368', '5694', '4192', '48503']",[]
66,354459,Kenya Vs Scotland 3Rd Place Playoff,353665,"ICC World Twenty20 Qualifier Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland - 2008 (2008)",2008-08-04,T20,26,Kenya,2265,106.0,9.0,6.0,30,Scotland,45548,107.0,1.0,4.0,Civil Service Cricket Club,Belfast,Ireland,DB Hair,PK Baldwin,BC Broad,Kenya,bat,Scotland,Scotland won by 9 wickets (with 11 balls remaining),45548.0,"['10364', '2264', '49383', '2265', '2268', '50293', '47212', '8207', '9228', '4171', '49761']","['45548', '46048', '46142', '8221', '4334', '44588', '52063', '48469', '4968', '8224', '47873']","['50293', '50293']"
69,361653,Sri Lanka Vs Zimbabwe 1St Match,361644,T20 Canada in Canada - 2008 (2008/09),2008-10-10,T20,9,Zimbabwe,45326,106.0,8.0,6.0,8,Sri Lanka,6315,107.0,5.0,9.0,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 5 wickets (with 6 balls remaining),50377.0,"['10639', '10423', '47619', '10421', '21364', '45252', '49274', '45326', '7432', '45215', '47210']","['48468', '7419', '15273', '8195', '6315', '48520', '11374', '11271', '15267', '50377', '12209']","['50377', '47210', '12209', '15273', '48468', '7432', '15267', '8195', '49274']"
70,361654,Canada Vs Pakistan 2Nd Match,361644,T20 Canada in Canada - 2008 (2008/09),2008-10-10,T20,7,Pakistan,8270,137.0,7.0,6.0,17,Canada,21252,102.0,9.0,15.0,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Pakistan,bat,Pakistan,Pakistan won by 35 runs,11647.0,"['11647', '47738', '10439', '8270', '19596', '4169', '9257', '48128', '44908', '5649', '53540']","['46191', '57551', '19653', '57853', '10336', '21252', '47129', '8053', '47143', '57210', '48590']","['10336', '10336', '8053', '8053', '19653', '19653', '57853', '57853', '57551', '57551', '47738', '53540', '47143', '47143']"
73,361657,Pakistan Vs Zimbabwe 5Th Match,361644,T20 Canada in Canada - 2008 (2008/09),2008-10-12,T20,9,Zimbabwe,45326,107.0,8.0,18.0,7,Pakistan,8270,110.0,3.0,17.0,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Zimbabwe,bat,Pakistan,Pakistan won by 7 wickets (with 6 balls remaining),47738.0,"['10423', '49282', '47619', '10421', '45252', '10639', '49274', '51554', '45326', '7432', '47210']","['47738', '4169', '11647', '11643', '47099', '9257', '19596', '49125', '44908', '8270', '19036']","['19036', '49125', '11643', '51554']"
75,361659,Canada Vs Zimbabwe 3Rd Place Playoff,361644,T20 Canada in Canada - 2008 (2008/09),2008-10-13,T20,9,Zimbabwe,45326,184.0,5.0,10.0,17,Canada,21252,75.0,10.0,5.0,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Canada,bowl,Zimbabwe,Zimbabwe won by 109 runs,10423.0,"['10423', '49282', '47619', '10421', '10639', '45252', '21364', '47234', '47210', '45326', '7432']","['10336', '57551', '47081', '21252', '46191', '57853', '47129', '8053', '47143', '57210', '21275']",['47234']
76,361660,Pakistan Vs Sri Lanka Final,361644,T20 Canada in Canada - 2008 (2008/09),2008-10-13,T20,7,Pakistan,8270,132.0,7.0,16.0,8,Sri Lanka,6315,133.0,5.0,19.0,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 5 wickets (with 6 balls remaining),1988.0,"['11647', '47738', '4169', '10439', '8270', '19596', '47099', '9257', '44908', '5649', '48128']","['1988', '48468', '6315', '8203', '48520', '10412', '7419', '11374', '15267', '11271', '50377']",[]
77,350347,South Africa Vs Bangladesh Only T20I,350339,Bangladesh tour of South Africa  - 2008 (2008/09),2008-11-05,T20,3,South Africa,10401,118.0,7.0,13.0,25,Bangladesh,24667,109.0,8.0,15.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,M Erasmus,RS Mahanama,Bangladesh,bowl,South Africa,South Africa won by 12 runs (D/L method),45159.0,"['7538', '2347', '7541', '46533', '45222', '9505', '45889', '10401', '17857', '47289', '47154']","['48391', '47218', '24667', '48394', '48277', '47189', '47986', '48388', '45159', '47353', '45573']","['17857', '48388', '48388', '47189', '48394', '48394', '45889']"
